# ===== 服装材质 =====
Cotton	棉布
Denim	牛仔布
Leather	皮革
Nylon	尼龙
Fishnet	渔网
Tanned Leather	鞣制皮革
Latex	乳胶

# ===== 服装类型 =====
Dress	连衣裙
Skirt	裙子
Jacket	夹克
Coat	外套
Pants	裤子
Shirt	衬衫
Shoes	鞋子
Suit	西装
Trench Coat	风衣
Bathrobe	浴袍
Bodysuit	连体衣
Corset	束腰
Harness	绑带
Tights	连裤袜
Sleeve	袖子
Gloves	手套
Bowtie	领结
Tie	领带
Scarf	围巾
Bandana	头巾
Wild Rag	牛仔巾
Suspender	吊带
Belt	腰带
Vest	马甲
Shorts	短裤

# ===== 容器/物品 =====
Box	盒子
Bag	包
Duffel Bag	旅行袋

# ===== 服装变体 =====
Micro	超短
Long	长款
Short	短款
Tall	加长
Slim	修身
Tight	紧身
Loose	宽松
Layered	层叠
High Waist	高腰
Vintage	复古
Open	敞开
Closed	闭合

# ===== 身体部位 =====
Left Arm	左臂
Right Arm	右臂
Left Leg	左腿
Right Leg	右腿
Both Legs	双腿
Both Arms	双臂

# ===== UI / 动作 =====
More Skin	更多露肤
Less Skin	更少露肤
Wear Outside	穿在外面
Wear Inside	穿在里面
Wear on Both Legs	双腿穿戴
Wear on One Leg	单腿穿戴
Wear on Both Arms	双臂穿戴
Wear on One Arm	单臂穿戴
Put on Suspender	穿上吊带
Take off Suspender	脱下吊带
Put on Belt	系上腰带
Take off Belt	解下腰带
Open Jacket	打开夹克
Close Jacket	合上夹克
Roll Up Sleeves	卷起袖子
Roll Down Sleeves	放下袖子
Wear Longer	穿长一些
Wear Shorter	穿短一些
Wear Higher	穿高一些
Wear Lower	穿低一些
Switch Side	切换方向
Wear Above Collar	戴在领上
Wear Below Collar	戴在领下
Rip Clothing	撕开衣物

# ===== 配方 / 操作 =====
Salvage	回收
Scraps	碎片
Threads	线材
Rip	撕开
Worn	磨损的

# ===== 其他 =====
Underwear	内衣
KinkItUp	KinkItUp
Frockin	Frockin
Has an alternative appearance	有替换外观

# ==== 槽位 ====
slot    槽位
